lp-nemertes-digital-engagement,http://success.serenova.com/lp-nemertes-digital-engagement?CLS=MKTG_Digital_Advertising,NO,http://success.serenova.com/ty-nemertes-transform-digital-engagement
home,http://staging.serenova.com/?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=demo-cxe
disaster-recovery,http://staging.serenova.com/disaster-recovery?CLS=MKTG_Digital_Advertising,Yes,https://www.serenova.com/thank-you?ty=demo-standby
contact,http://staging.serenova.com/contact?CLS=MKTG_Digital_Advertising,Yes,https://www.serenova.com/thank-you?ty=contact-us
demo,http://staging.serenova.com/demo?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=demo-cxe
quote,http://staging.serenova.com/quote?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=quote-cxe
trial,http://staging.serenova.com/trial?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=trial-cxe
demo-skylight,http://staging.serenova.com/demo-skylight?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=demo-skylight
contact-skylight,http://staging.serenova.com/contact-us-skylight?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=contact-skylight
quote-skylight,http://staging.serenova.com/quote-skylight?CLS=MKTG_Digital_Advertising,Yes,https://www.serenova.com/thank-you?ty=quote-skylight
trial-skylight,http://staging.serenova.com/trial-skylight?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=trial-skylight
demo-disaster-recovery,http://staging.serenova.com/demo-disaster-recovery?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=demo-standby
contact-us-disaster-recovery,http://staging.serenova.com/contact-us-disaster-recovery?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=contact-standby
quote-disaster-recovery,http://staging.serenova.com/quote-disaster-recovery?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=quote-standby
trial-disaster-recovery,http://staging.serenova.com/trial-disaster-recovery?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=trial-standby
G2-partner,http://staging.serenova.com/partner?CLS=MKTG_Digital_Advertising,Yes,https://www.serenova.com/thank-you?ty=partner
G2-partners,http://staging.serenova.com/partners?CLS=MKTG_Digital_Advertising,Yes,https://www.serenova.com/thank-you?ty=partner
G2-Contact-csm,http://staging.serenova.com/contact-csm?CLS=MKTG_Digital_Advertising,NO,https://www.serenova.com/thank-you?ty=contact-csm
